VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
670, 39586, -7.99085, -11.49931,  0.52588, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
671, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
672, 39592, -8.11687, -11.1652,  0.52588, -2.48438,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.60938, -0.92383, -0.38232,  0.0057, -1.00
673, 39586, -7.99085, -11.49931,  0.52588, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
674, 39557, -7.52667, -11.30704,  0.40137, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
675, 39468, -6.34628, -11.59072,  0.15198, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
676, 39457, -6.22025, -11.92483,  0.15198, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
677, 39417, -5.75608, -11.73256,  0.02731, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
678, 39468, -6.34628, -11.59072,  0.15198, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
679, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
680, 39457, -6.22025, -11.92483,  0.15198, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
681, 39468, -6.34628, -11.59072,  0.15198, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
682, 39479, -6.4723, -11.25661,  0.15198, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
683, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
684, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
685, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
